AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
AASP443 |<i> Prerequisite: AASP100 or AASP202 or HIST255 or permission of department. </i> The relationship between black Americans and the law, particularly criminal law, criminal institutions and the criminal justice system. Examines historical changes in the legal status of blacks and changes in the causes of racial disparities in criminal involvement and punishments.| |Blacks and the Law| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST378  |Experiential Learning| REG/P-F/AUD 3 (PermReq) 
AAST388  |Independent Research| REG/P-F/AUD 3 (PermReq) 
AAST398B |Also offered as ENGL379B.| |Contemporary Asian American Literature of the 21st Century| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST398M  |Multi-Racial Asian Americans| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST398P  |Asian Americans in Washington, D.C.| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST424 |<i> Prerequisite: Six credits in sociology or permission of department. Also offered as SOCY424. Not open to students who have completed SOCY424. Credit will be granted for only one of the following: AAST424 or SOCY424. </i> Analysis of race-related issues, with a primary focus on American society. The historical emergence, development, and institutionalization of racism; the impact of racism on its victims; and racially based conflict.| |Sociology of Race Relations| REG/P-F/AUD 3  
AAST498A |Also offered as EDCP498A.| |Education and Counseling Issues for Asian Americans| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST498F |Also offered as AMST418V.| |Asian American Oral History| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST498O |The disparities in health and health care experienced by diverse Asian American and Pacific Islander populations and how these disparities are are connected to Asian American history and current social, economic, educational and political conditions. An examination of the impact of culture, language, immigration, racism and assimilation on health. Students will learn about efforts to address disparities through research, community organizing, and political advocacy. Students will also have an opportunity to identify how Asian Americans are affected by current public policy issues such as health reform.| |Asian American Health| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AAST498W |This course will explore the connections between Asian Americans and development of selected social variables characterizing the diversity dimensions (ability, age, class, color, culture, ethnicity, family structure, gender, marital status, national origin, race, religion or spirituality, sex, and sexual orientation) in contemporary U.S. society. Social and behavioral science and research findings on the allocation of different roles, status and opportunities to these populations will be studied. Students will use a multidimensional, social justice, and multicultural framework to examine power, rivilege, discrimination, and oppression.| |Asian American Contemporary Culture in the United States| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AGNR323 |<i> Formerly AGRI323. </i> Concepts involved in planning and executing nonformal educational programs developed to meet the needs of youth. Emphasize the identification of opportunities, needs, and problems of youth in all socioeconomic levels; and analysis of methods of working with youth groups and developing volunteer staff.| |Developing Youth Programs| REG/P-F/AUD 3  
AGNR388  |Honors Thesis Research| REG 3-6 (PermReq) 
AGNR422 |<i> Prerequisite: Permission of department. </i> Immersion-based, intensive course of study in a foreign agricultural education setting. UM Students will study with local students in a variety of University classes and field experiences in agriculture, natural resources and environmental sciences, laboratory science, economics, education technology, etc. Students will learn customs, culture and language of the host country.| |International Agriculture Science and Culture| REG 6 (PermReq) 
AMSC420 |<i> Prerequisite: MATH241, MATH246, STAT400, MATH240 or MATH461; and permission of department. Also offered as MATH420. Credit will be granted for only one of the following: AMSC420, MAPL420, or MATH420. Formerly MAPL420. </i> The course will develop skills in mathematical modeling through practical experience. Students will work in groups on specific projects involving real-life problems that are accessible to their existing mathematical backgrounds. In addition to the development of mathematical models, emphasis will be placed on the use of computational methods to investigate these models, and effective oral and written presentation of the results.| |Mathematical Modeling| REG 3  |CORE Capstone (CS) Course.|
AMSC460 |<i> Prerequisites: MATH240; and MATH241; and CMSC106 or CMSC114 or ENEE114. Also offered as CMSC460. Credit will be granted for only one of the following: AMSC/CMSC/MAPL460 or AMSC/CMSC/MAPL466. Formerly MAPL460. </i> Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences.| |Computational Methods| REG/P-F/AUD 3 (PermReq) 
AMSC466 |<i> Prerequisites: MATH240; and MATH241; and CMSC106 or CMSC114 or ENEE114. Also offered as CMSC466. Credit will be granted for only one of the following: AMSC/CMSC/MAPL460 or AMSC/CMSC/MAPL466. Formerly MAPL466. </i> Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations.| |Introduction to Numerical Analysis I| REG/P-F/AUD 3 (PermReq) 
AMSC498A  |Selected Topics in Applied Mathematics| REG/P-F/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AMSC612 |<i> Prerequisite: a graduate level one semester course in partial differential equations or a theoretical graduate level course in applied field such as fluid mechanics; or permission of instructor. Credit will be granted for only one of the following: AMSC 612 or MAPL 612. Formerly MAPL612. </i> Finite difference methods for elliptic, parabolic, and hyperbolic partial differential equations. Additional topics such as spectral methods, variational methods for elliptic problems, stability theory for hyperbolic initial-boundary value problems, and solution methods for conservation laws.| |Numerical Methods in Partial Differential Equations| REG/AUD 3  
AMSC661 |<i> Prerequisite: AMSC/CMSC/MAPL 460 or AMSC/CMSC/MAPL 466 or knowledge of basic numerical analysis (linear equations, nonlinear equations, integration, interpolation) with permission of instructor. Knowlege of C or Fortran. Also offered as CMSC 661. Credit will be granted for only one of the following: AMSC 661, CMSC 661 or MAPL 661. Formerly MAPL661. </i> Fourier and wavelet transform methods, numerical methods for elliptic partial differential equations, numerical linear algebra for sparse matrices. Finite element methods, numerical methods for tiem dependent partia l differential equations. Techniques for scientific computation with an introduction to the theory and software for each topic. Course is part of a two course sequence (660 and 661), but can be taken independently.| |Scientific Computing II| REG 3  
AMSC664 |<i> Prerequisite: AMSC 663 and permission of instructor. Also offered as CMSC 664. Credit will be granted for only one of the following: AMSC 664 or CMSC 664. </i> In the sequence MAPL 663, MAPL 664 students work on a year-long individual project to develop software for a scientific task in a high performance computing environment. Lectures will be given on code development and validation, parallel algorithms for partial differential equations, nonlinear systems, optimization.| |Advanced Scientific Computing II| REG 3  
AMSC667 |<i> Prerequisite: AMSC/CMSC/MAPL 666. Also offered as CMSC 667. Credit will be granted for only one of the following: AMSC 667, CMSC 667 or MAPL 667. Formerly MAPL667. </i> Numerical solution of initial value problems, numerical solution of boundary value problems, iterative methods for linear systems of equations, numerical methods for eigenvalue problems.| |Numerical Analysis II| REG/AUD 3  
AMSC671 |<i> Prerequisite: MATH630; and AMSC/MAPL/MATH670 or equivalent. Also offered as MATH671. Credit will be granted for only one of the following: AMSC671, MAPL671 or MATH671. Formerly MAPL671. </i> The content of this course varies with the interests of the instructor and the class. Stability theory, control, time delay systems, Hamiltonian systems, bifurcation theory, and boundary value problems.| |Ordinary Differential Equations II| REG/AUD 3  
AMSC674 |<i> Prerequisite: AMSC/MAPL/MATH673 or permission of instructor. Also offered as MATH674. Credit will be granted for only one of the following: AMSC674, MAPL674 or MATH674. Formerly MAPL674. </i> Boundary value problems for elliptic partial differential equations via operator-theoretic methods. Hilbert spaces of functions. Duality, weak convergence. Sobolev spaces. Spectral theory of compact operators. Eigenfunction expansions. Offered in the Spring semester only.| |Partial Differential Equations II| REG/AUD 3  
AMSC689  |Research Interactions in Applied Mathematics and Scientific Computation| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AMSC698A  |Advanced Topics in Applied Mathematics| REG/AUD 1-4  |Individual Instruction course: contact department or instructor to obtain section number.|
AMSC760 |<i> Prerequisite: At least one full year of graduate study in Applied Statistics, approval by SAC of project proposal. </i> A semester long applied applied statistical project (a minimum 10 hours per week or 120 hours in total), in an internship of collaborative research-laboratory setting working on a substantive applied quantitative project with significant statistical content.| |Applied Statistics Practicum| REG 3  
AMSC762 |This course cannot be used to meet any of the Applied Statistics Area's seminar requirements. Offered yearly, required of and limited to MS non-thesis and doctoral students in Applied Statistics Area, for whom the resulting projects serve as a Qualifying Exam component. After 5-6 lectures or presentations on components of successful data analyses and write-ups, 3-4 sessions will discuss previous student project submissions. The culminating project, to be completed in a two week period between semesters, is an analysis and written report of one of three project choices made available each year to represent a spectrum of realistic applied statistical problems.| |Data Analysis Project| REG 1  
AMSC799  |Master's Thesis Research| REG/S-F 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
AMSC898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
AMSC899  |Doctoral Dissertation Research| REG/S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AMST201 |Introduction to American cultural studies--past and present--by examining the concept of "self" in American autobiographical writing and the concept of "society" in accounts of various communities.| |Introduction to American Studies| REG/P-F 3  |CORE Humanities (HO) Course.|
AMST203 |An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.| |Popular Culture in America| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
AMST204 |Exploration of the American film from a historical perspective, illustrating the motion picture's role as an institutional phenomenon, as a form of communication, and as a source of cross-cultural study.| |Film and American Culture Studies| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
AMST340 |<i> Prerequisite: AMST201 and two additional AMST courses. Sophomore standing. For AMST majors only. </i> Introduction to the process of interdisciplinary research, including research literatures, questions, first-hand sources and library and analytic methods in American Studies. Each student will craft a prospectus for original research.| |Introduction to History, Theories and Methods in American Studies| REG 3  
AMST386 |<i> Prerequisite: permission of department. Junior standing. </i> Faculty mentored independent learning. Online interaction using Blackboard required.| |Experiential Learning| REG 3-6 (PermReq) 
AMST388  |Honors Thesis| REG 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AMST398  |Independent Studies| REG 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AMST418L |Also offered as AAST498V. Prerequisites: One prior course in American Studies, Anthropology, Religious Studies or with permission of instructor.| |Cultural Themes in America: Asian Religions in American Culture| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AMST418V |Also offered as AAST498F.| |Asian American Oral History| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AMST432 |<i> Prerequisite: Prior course in AMST, SOCY, American literature, or American history. </i> Examination of the relationship between literature and society: including literature as cultural communication and the institutional framework governing its production, distribution, conservation and evaluation.| |Literature and American Society| REG/P-F/AUD 3  
AMST450 |<i> Prerequisite: AMST201, AMST340, and one additional AMST course. Senior standing. For AMST majors only. </i> Developments in theories and methods of American Studies scholarship, with emphasis upon interaction between the humanities and the social sciences in the process of cultural analysis and evaluation.| |Seminar in American Studies| REG 3 (PermReq) |CORE Capstone (CS) Course.|
AMST498W  |Special Topics in American Studies: Gender, Food, and Identity| REG/P-F/AUD 3  |CORE Diversity (D) Course.|
AMST603 |<i> For AMST majors only or permission of department. Permission of instructor required for non-A MST graduate students. </i> Builds on AMST601 and explores contemporary literature, theory, and intellectual issues in American Studies.| |Current Approaches to American Studies| REG/AUD 3  
AMST655 |<i> Restricted to graduate students in American Studies, Anthropology, Historic Preservation, or History (including HILS), or others by permission of department. Also offered as HIST 610. Credit will be granted for only one of the following: AMST 638C, AMST 655, HIST 610, or HIST 619C. Formerly AMST638C. </i> Provides students a basic understanding of museums as cultural and intellectual institutions. Topics include the historical development of museums, museums as resources for scholarly study, and the museum exhibition as medium for presentation of scholarship. Meets in the Smithsonian Institution Library Conference room on the ground floor of the National Museum of Natural History near the 10th Street NW and Constitution Avenue entrance. The first class session wil l meet at the information desk.| |Introduction to Museum Scholarship| REG/AUD 3  
AMST698  |Directed Readings in American Studies| REG 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
AMST798  |Non-Thesis Research| REG/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
AMST799  |Master's Thesis Research| REG/S-F 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
AMST857 |<i> Prerequisite: AMST856 and Permission of Museum Scholarship Program. Credit will be granted for only one of the following: AMST857 or HIST811. </i> Students devise and carry out a research program using the collections at the Smithsonian Institution or some other cooperating museum, working under joint supervision of a museum professional and a university faculty member. Also offered as HIST811.| |Museum Scholarship Practicum| REG 3-6 (PermReq) 
AMST898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
AMST899  |Doctoral Dissertation Research| REG/S-F 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC212 |<i> Prerequisite: ANSC211 or equivalent. </i> The physiology of domesticated animals with emphasis on functions related to homeostasis, and the physiological adaptation to environmental influences.| |Applied Animal Physiology| REG/P-F/AUD 3  
ANSC214 |<i> Pre- or corequisite: ANSC212. </i> Application of physiological laboratory techniques to domestic and lab animals. Students must pay a $50.00 laboratory materials fee.| |Applied Animal Physiology Laboratory| REG/P-F/AUD 1  
ANSC232 |<i> Prerequisite: ANSC101 and ANSC103. Credit will be granted for only one of the following: ANSC232 or ANSC332. Formerly ANSC332. </i> An introductory course on the care, management, and use of horses. Major topics include the industry, breeds, conformation, feeding, health, reproduction, facilities and business. Students must pay a $50.00 laboratory materials fee.| |Horse Management| REG/P-F/AUD 3  
ANSC235 |<i> Prerequisite: grade of C/2.0 or better in ANSC101, ANSC103 and permission of department. Not open to students who have completed "Lamb Watch". </i> Popularly known as "Lamb Watch", the course provides an immersion environment for learning and understanding pre- and post-natal care of ewes and lambs through direct, hands-on involvement in the birthing process and care of the neonate through weaning. Covered topics include zoonoses, basic reproductive physiology of the sheep, normal and abnormal delivery, management of lambs, qualitative assessment, breeding principles, etc. Students must pay a $50.00 laboratory materials fee.| |Applied Small Ruminant Parturition| REG/P-F/AUD 2 (PermReq) 
ANSC250 |<i> Prerequisite: BSCI105. Credit will be granted for only one of the following: ANSC250 and ANSC305. Formerly ANSC305. </i> Care and management of the companion small animals. Species covered include the cat, dog, rodents, lagomorphs, reptiles, amphibians, birds and others as class interest and schedule dictate. Basic description, evolutionary development, breeding, nutritional and environmental requirements, and public health aspects will be presented for each species.| |Companion Animal Care and Management| REG/P-F/AUD 3  
ANSC260 |<i> Prerequisite: ANSC101 and ANSC103. Credit will be granted for only one of the following: ANSC260 or ANSC413. Formerly ANSC413. </i> A comprehensive course in care and management of laboratory animals. Emphasis will be placed on physiology, anatomy and special uses for the different species. Disease prevention and regulations for maintaining animal colonies will be covered. Field trips will be required. Students must pay a $50.00 laboratory materials fee. There will be 4 field trips, 2 of which will be required, and these field trips will always take place on Fridays during the lab time.| |Laboratory Animal Management| REG/P-F/AUD 3  
ANSC315 |<i> Prerequisite: ANSC314. </i> Elements of nutrition, source characteristics and adaptability of various feedstuffs to several classes of livestock. A study of the composition of feeds, nutrient requirements and computerized formulation of economic diets and rations for livestock. Students must pay a $50.00 laboratory materials fee.| |Applied Animal Nutrition| REG/P-F/AUD 3  
ANSC327 |<i> Prerequisites: ANSC101, ANSC103, BSCI105, and CHEM131. </i> Classical, molecular, and population genetics with specific emphasis on animal systems will be covered. Also, disseminate information on molecular approaches for manipulating genetics at the whole animal level (transgenic and cloning). Other model organisms will be discussed to provide a conceptual framework.| |Molecular and Quantitative Animal Genetics| REG/P-F/AUD 3  
ANSC340 |<i> Prerequisite: ANSC212. Recommended: BSCI223. Credit will be granted for only one of the following: ANSC340 or ANSC412. Formerly ANSC412. </i> A study of common and emerging animal diseases and their prevention and control. The main focus will be on livestock and poultry diseases. However, zoonotic, wildlife, and laboratory animal diseases will also be discussed along with risk assessment, bioterrorism counter-measures, and animal welfare, especially as these topics interface or impact animals used in food production.| |Health Management of Animal Populations| REG/P-F/AUD 3  
ANSC386 |<i> Prerequisite: Permission of department. Junior standing. </i>| |Experiential Learning| REG/P-F 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC388  |Honors Thesis Research| REG 3-6 (PermReq) 
ANSC399  |Special Problems in Animal Science| REG/P-F/AUD 1-2 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC420 |<i> Prerequisite: ANSC314 and junior standing. Recommended: AREC250 and AREC306. </i> Employ methods to systematically solve selected problems that typically arise on farms or allied businesses related to animal enterprises.| |Critical Thinking in Animal Science| REG/P-F/AUD 3  |CORE Capstone (CS) Course.|
ANSC435 |<i> Prerequisite: ANSC212. Recommended: Reproductive Physiology. Credit will be granted for only one of the following: ANSC435 or ANSC489M. Formerly ANSC489M. </i> Experimental approaches to mammalian embryology with emphasis on domestic livestock systems as applied to research and production systems. Lab will include hands-on experiments and demos of in vitro embryo production, embryo splitting, cell injection and nuclear transfer. Students must pay a $50.00 laboratory materials fee.| |Experimental Embryology| REG/P-F/AUD 3  
ANSC444 |<i> Prerequisite: ANSC212 or permission of instructor. Not open to students who have completed ANSC489I or ANSC644. Credit will be granted for only one of the following: ANSC489I, ANSC444, or ANSC644. Formerly ANSC489I. </i> Current developments in endocrinology as it relates to animals used in the production of food and other products important to the well being of humans will be covered.| |Domestic Animal Endocrinology| REG/P-F/AUD 3  
ANSC450 |<i> Prerequisite: BIOM301 or equivalent. Junior standing. </i> Design of animal breeding programs for the genetic improvement of livestock and companion animal species. Principles of population and quantitative genetics. Genetic evaluations of animals, selection strategies and crossbreeding systems. Incorporation of advanced statistics and biotechnology into animal breeding plans.| |Animal Breeding Plans| REG/P-F/AUD 3  
ANSC452 |<i> Prerequisite: ANSC212. 60 semester hours. </i> The digestive, excretory, respiratory, circulatory, immune, skeletal muscle, endocrine and nervous systems of avian species will be examined.| |Avian Physiology| REG/P-F/AUD 3  
ANSC453 |<i> Prerequisite: ANSC101 and ANSC103; or BSCI106; or permission of instructor. Junior standing. </i> Ethical concerns related to the use of animals in modern society. Historical and philosophical overview of animal welfare and bioethics. Applied ethical discussions on human/animal interrelationships, physical and genetic manipulation, and other current issues associated with the treatment of animals used in food production, research, zoos, and as pets.| |Animal Welfare and Bioethics| REG/P-F/AUD 3  
ANSC489  |Current Topics in Animal Science| REG/P-F/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC644 |<i> Not open to students who have completed ANSC688I or ANSC444 or ANSC489I. Credit will be granted for only one of the following: ANSC444 or ANSC489I or ANSC644 or ANSC688I. Formerly ANSC688I. </i> A comprehensive course covering the major endocrine systems in animals. Lecture topics include major endocrine axes, hormonal regulation of homeostasis, growth and reproduction, and endocrine mechanisms of action. Advanced concepts in the molecular and cell biology of hormone action and regulation addressed in weekly discussion sessions centered on current research publications in the field of molecular and cellular endocrinology.| |Molecular and Cellular Endocrinology| REG/AUD 3  
ANSC660 |Readings on individual topics are assigned. Written reports required. Methods of analysis and presentation of scientific material are discussed.| |Poultry Literature| REG/AUD 1-4  |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC699  |Special Problems in Animal Science| REG/AUD 1-2 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC799  |Master's Thesis Research| REG 1-6  |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC898  |Pre-Candidacy Research| REG 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
ANSC899  |Doctoral Dissertation Research| REG 6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH298I |Also offered as THET289I. <hr> <b><i> One of the "I" Courses for Spring 2011: Issues-Inspiration-Imagination; http://www.iseries.umd.edu/</i></b> <A HREF= 'http://www.iseries.umd.edu/'> Click here for more course information.</A> <hr>| |Subversive Culture| REG/P-F/AUD 3  |CORE Social or Political History (SH) Course.|
ANTH340 |<i> Prerequisite: ANTH240. For all Anthropology majors with a focus in archaeology or permission of department. </i> Theory, method, and practice which guides modern anthropological archaeology. Includes research design and execution (from survey through excavation and interpretation), the reconstruction of aspects of past cultures, and the understanding of cultural change and meaning.| |Method and Theory in Archaeology| REG/P-F/AUD 3  
ANTH360 |<i> Prerequisite: ANTH260. For all Anthropology majors with a focus in cultural anthropology or permission of department. </i> Theoretical approaches and research methods in sociocultural anthropology. Emphasis on current debates, new directions, and their historical antecedents.| |Method and Theory in Sociocultural Anthropology| REG/P-F/AUD 3  
ANTH386 |<i> Prerequisite: permission of department. Recommended: completion of advanced courses in relevant subfield of anthropology. Junior standing. For ANTH majors only. </i>| |Experiential Learning| REG/P-F 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH410 |<i> Junior standing. Also offered as ANTH610. Credit will be granted for only one of the following: ANTH410 or ANTH610. </i> Introduction to the relationships between culture, health status and practices, and the design of community-based initiatives. The focus is on the use of anthropological knowledge and skills in the analysis of such relationships and in the design of community-based initiatives.| |Theory and Practice of Health and Community Development| REG/AUD 3  
ANTH447 |<i> Prerequisite: ANTH240. Credit will be granted for only one of the following: ANTH447, ANTH448C, ANTH647, or ANTH689C. Formerly ANTH448C. </i> An in-depth introduction to the world of material culture studies with a focus on the methods and theories in historical archaeology. Students will look at archaeological data as historical documents, commodities and as symbols expressing ideas.| |Material Culture Studies in Archaeology| REG/P-F/AUD 3  
ANTH454 |<i> Also offered as ANTH654. Credit will be granted for only one of the following: ANTH454 or ANTH654. </i> Review of recent anthropological contributions to the study of travel and tourism development. Topics include the history of travel, political economy of tourism, gender in tourism, the built environment, ecotourism, and heritage tourism.| |Anthropology of Travel and Tourism| REG/P-F/AUD 3  
ANTH476 |<i> For ANTH majors only. Credit will be granted for only one of the following: ANTH476 or ANTH486. </i> Capstone course in which students pursue independent research into a current problem in anthropology, selected with assistance of a committee of faculty. Research leads to the writing of a senior thesis in anthropology.| |Senior Research| REG/P-F/AUD 3-4 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH477 |<i> Prerequisite: ANTH476; permission of department. For ANTH majors only. Credit will be granted for only one of the following: ANTH477 or ANTH487. </i> Capstone course in which students write a senior thesis on independent research into a current problem in anthropology. The thesis is defined before a committee of faculty.| |Senior Thesis| REG/P-F/AUD 3-4 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH486 |<i> Prerequisites: permission of department; admission to University Honors Program or Anthropology Honors Program. For ANTH majors only. Credit will be granted for only one of the following: ANTH486 or ANTH476. </i> Capstone course in which students pursue independent research into a current problem in anthropology, selected with assistance of a committee of faculty. Research leads to the writing of an honors thesis in anthropology.| |Honors Research| REG 3-4 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH487 |<i> Prerequisites: ANTH486; permission of department; admission to University Honors Program or Anthropology Honors Program. For ANTH majors only. Credit will be granted for only one of the following: ANTH487 or ANTH477. </i> Capstone course in which students write a thesis on the results of independent research into a current problem in anthropology.| |Honors Thesis| REG 3-4 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH610 |<i> Also offered as ANTH 410. Credit will be granted for only one of the following: ANTH 610 or ANTH 410. </i> Introduction to the relationships between culture, health status and practices, and the design of community-based initiatives. The focus is on the use of anthropological knowledge and skills in the analysis of such relationships and in the design of community-based initiatives.| |Advanced Studies in Theory and Practice of Health and Community Development| REG/AUD 3  
ANTH615 |<i> Credit will be granted for only one of the following: ANTH468N, ANTH618, or ANTH688N. </i> Suveys the African American family from a historical and ecological perspective, exploring adaptive responses through high stress periods. A key question underlying the explorations in this seminar is whether there are lessons from earlier African American organiztional structures (family, church, and community) that might be applicable to black families overcoming more recent periods of high environmental stress, or does such a concept even have relevance in today's multicultural world?| |The Anthropology of the African American Family| REG/AUD 3  
ANTH617 |<i> Credit will be granted for only one of the following: ANTH468B, ANTH617, or ANTH688B. </i> Explores the use of ethnographic research methods in carrying out community assessment research to inform the design, implementation, and evaluation of culturally and community appropriate community-based initiatives. This course usually has a fieldwork component in a local urban neighborhood. Also offered as ANTH468B.| |Applied Urban Ethnography: Community Assessment Research| REG/AUD 3  
ANTH630 |An intensive overview of key quantitative and statistical approaches used by social scientists in applied ad policy research. This includes nonparametric and parametric statistical approaches. Students utilize statistical software and analyze existing and student-created databases. Anthropological case studies are emphasized.| |Quantification and Statistics in Applied Anthropology| REG/AUD 3  
